녹지 비율,기온,강수량,온열환자
77.67,14.2,1573.10,323
61.11,14.9,1441.90,812
78.35,11,1253.50,280
67.68,12.6,1452.60,706
81.17,12.7,1419.70,325
65.55,12.2,1560.90,1293
50.17,11.4,1529.10,386
79.27,13.8,1572.90,1445
83.64,15.8,1856.70,203
79.41,11.4,1340.60,1703
67.35,13.4,1617.20,1006
78.75,11.2,1713.90,2508
40.07,12.1,2043.50,1166
75.03,12.2,960.4,385
77.77,14.4,1204.50,239
69.65,14,1161.60,167
77.66,13.7,1300.30,347
59.73,14.6,1478.60,975
78.1,10.5,1830.70,183
67.5,12.3,1542.10,565
81.24,12.6,1943.40,306
65.67,11.8,1821.30,1074
51.14,11,1592.40,493
78.7,13.6,1670.00,1285
83.64,15.8,1579.00,172
78.93,11.2,1864.40,1617
68.13,13.1,1508.30,865
78.8,11,2118.80,1889
40.05,12,2039.30,1258
74.71,12,1309.80,371
77.68,14.3,1430.40,213
69.61,13.7,1233.20,133
77.64,13.7,1626.80,338
59.45,14.5,1983.30,2580
77.99,10.5,1264.70,225
67.52,12.3,1547.60,655
81.17,12.6,1409.50,359
65.23,11.7,1455.70,1073
49.03,11.1,1221.60,583
78.48,13.3,1689.30,1850
83.64,15.9,2206.40,165
78.78,11.1,1409.50,1007
67.97,13.2,1688.80,1086
78.59,11.3,1531.90,2149
40.03,12.2,1646.30,1634
74.27,11.8,1259.60,736
77.61,14.1,1189.90,1482
68.59,13.7,1458.10,194
77.64,14.2,1245.40,422
58.95,15.3,1130.10,1339
77.9,11.2,1230.30,263
68.69,12.7,1255.70,836
81.13,13.1,1120.20,439
65.97,12.1,1147.00,1030
49.95,11.1,1107.90,464
78.31,14,1167.20,2333
83.64,16.3,1001.70,231
78.65,11.6,1165.40,902
67.89,13.7,1206.40,1214
78.25,11.6,1421.60,1813
39.88,12.5,1403.80,1474
74.07,12.5,991.6,1052
77.54,15,571.2,1671
68.45,14.8,858.3,248
77.64,14.3,1290.30,266
58.97,15.1,1693.10,1357
77.82,11.7,1006.00,236
68.66,12.9,1281.90,478
81.13,13.4,1117.70,314
65.74,12.6,1060.70,871
49.98,12.1,595.3,448
78.12,13.8,1579.00,2776
83.64,16.1,1887.30,72
77.82,12,990.5,1032
67.98,13.8,1486.40,797
77.9,12.2,799,1763
39.89,13.4,808.9,1903
74.03,12.5,1153.80,896
77.55,14.5,1047.60,1526
68.33,14.7,1398.70,238
77.64,14.6,1049.60,311
58.15,15.4,1396.70,1337
77.73,12,893.9,394
68.65,13.2,933,589
80.93,14,822.7,260
65.22,12.9,713,1118
49.88,12.3,633.8,407
77.92,14,1237.50,2492
83.64,16.2,2108.80,109
77.66,12.4,787.6,878
67.83,14,1246.30,862
77.75,12.6,820,2432
40.27,13.6,792.1,2670
73.97,13,823.1,1216
77.44,14.8,548.5,850
68.26,15,1044.60,239
75.03,15,1482.30,447
58.12,15.7,1760.20,1566
77.53,12,1065.10,460
68.58,13.5,1254.50,1023
80.91,14,1228.40,318
65.09,13.1,989.2,1435
49.73,12.4,899.7,485
78.19,14.4,1737.10,2360
83.64,16.6,1792.50,224
77.15,12.6,1080.30,1060
68.77,14.3,1499.60,1489
77.51,12.7,1016.10,2907
39.81,13.6,991.7,3745
73.6,13.2,1220.20,1321
77.41,14.6,1227.30,304
68.13,14.8,1693.90,303
74.96,14.6,936.6,380
58.06,15.2,1014.40,1195
77.42,11.5,1101.80,488
68.48,12.7,949.3,984
80.91,13.4,1127.50,230
65.14,12.3,1013.50,1198
49.73,11.9,724.4,417
77.95,14.1,876.4,1739
82.68,16.4,1221.60,555
76.76,11.9,1137.90,962
68.69,13.8,867.4,1117
77.4,11.8,1094.90,2677
38.71,13,1233.20,3745
73.43,12.8,864.2,1007
77.39,14.4,663.7,265
68.2,14.5,671.4,222
74.73,14.6,1427.90,676
58.06,15.1,1778.60,1792
77.21,11.3,1450.00,817
68.58,12.9,1435.30,1545
81.28,13.5,1542.10,467
65.04,12.4,1313.70,1542
49.62,11.6,1012.60,779
73.45,13.9,1679.90,3034
82.65,16.3,1857.10,1898
76.96,11.9,1370.70,1500
68.43,13.8,1479.30,1649
77.28,11.7,1316.70,4514
38.78,12.9,1284.10,6033
73.11,12.7,1316.60,1747
77.39,14.1,1297.60,519
68.17,14.3,1416.10,492
74.73,14.7,1085.90,392
57.9,15.7,1623.20,1226
77.19,12,1094.60,421
68.15,13.1,1148.20,821
80.49,14,984.2,287
64.56,12.7,913.2,906
55.62,12.5,864.7,448
73.38,14.4,1588.40,2414
82.65,16.6,2102.30,1533
75.94,12.4,941.1,944
68.68,14.2,1401.90,952
77.1,12.3,1000.50,3118
38.78,13.5,891.3,4225
73.26,13.3,1147.80,1120
77.4,14.8,995.7,284
68.2,14.9,1450.10,250
74.5,14.5,2027.00,213
57.9,15.2,2281.60,837
77.11,11.7,1575.10,335
67.98,13,1822.20,675
80.49,13.7,1614.00,186
64.29,12.7,1537.80,659
55.51,12.3,1335.70,236
73.52,14.1,1886.50,1336
82.66,16.4,1706.10,944
75.75,12.1,1535.90,643
68.5,14.1,1616.30,722
68.27,13.1,1685.80,32
76.97,12.2,1585.00,1742
38.69,13.2,1651.10,2178
73.2,13,1364.50,930
77.33,14.5,1244.90,272
68.53,14.6,1557.90,171
74.48,15.1,1303.80,269
57.91,15.7,1807.80,573
77.11,11.9,1129.90,209
67.96,13.5,1276.10,638
80.49,14.3,1109.50,246
64.08,13.2,1171.70,695
55.44,12.7,1068.40,362
73.26,14.5,1480.30,1128
82.66,17.2,1809.50,688
75.68,12.5,1151.20,787
68.31,14.7,1392.40,736
67.97,13.5,1104.60,36
76.19,12.5,1050.70,2510
38.62,13.7,1186.50,1938
73.2,12.9,1191.90,895
77.34,14.6,910,291
68.04,14.9,1337.00,147
74.43,14.8,769.9,223
57.77,15.4,991.9,750
77.1,11.5,1465.40,216
67.75,13,911,676
80.49,13.5,1203.10,554
63.59,12.5,1273.20,902
55.73,11.9,1401.10,392
73,14.3,948,1399
82.66,16.7,1362.40,1024
75.75,12,1229.90,887
68.28,14.2,896.7,845
68.69,13,1222.40,107
76.05,11.9,1839.60,2763
38.58,13.2,1775.30,2198
73.21,12.9,886.7,850
77.38,14.7,581,274
67.99,14.7,926.1,178
74.31,15.3,2116.10,309
57.76,16,2191.40,1061
78.95,12.4,1449.00,320
67.77,13.8,1870.00,1031
80.49,14,2042.50,642
63.08,13.4,1718.30,907
56.83,12.7,1215.60,840
73,14.8,2062.40,2237
82.59,17.1,1791.20,1412
74.99,12.9,1731.00,1198
70.97,14.7,1792.40,1088
68.69,13.8,2103.30,154
75.82,12.7,1486.40,3862
38.6,14.1,1598.80,2960
73.11,13.6,1545.30,1063
77.4,15.1,1321.80,417
76.03,15,1642.90,255
